"","1","2","3","4","5","6","group","tau1","tau2","tau3"
"mean.361",4.48155863707692,4.99711682360885,7.35174193186652,9.58054663350611,6.44964838607935,8.37053771142441,2,0.515558186531932,2.22880470163959,1.92088932534505
"mean.371",4.46479808224734,4.90952138133968,7.15036028395955,9.28174886186433,6.29740668044652,8.31652546892389,2,0.444723299092335,2.13138857790478,2.01911878847737
"mean.381",4.43935392334657,4.98063815216394,7.20684234714478,9.24573928053371,6.31055949026239,7.87131473332481,2,0.541284228817364,2.03889693338893,1.56075524306242
"mean.391",4.49047910949259,4.98623989962227,7.11092382472095,9.33303426809745,6.26016042772266,8.02385370348981,2,0.495760790129678,2.22211044337649,1.76369327576715
"mean.401",4.4438609379319,4.85749504150043,7.19563408057385,9.41202886603658,6.30540339257494,8.29393492245342,2,0.413634103568532,2.21639478546273,1.98853152987849
"mean.411",4.49338909829184,4.96676603074712,7.18692228999924,8.99276610442126,6.28602016454319,8.3712466659513,2,0.473376932455283,1.80584381442202,2.08522650140811
"mean.421",4.47722233100283,4.92652840563974,7.22550614267752,9.18374807374701,6.28496710186635,8.17466103777846,2,0.449306074636911,1.9582419310695,1.88969393591212
"mean.431",4.49527070977031,4.87909877384516,7.22486077003388,9.28939900758739,6.36663102290461,8.42056603655931,2,0.383828064074853,2.06453823755351,2.0539350136547
"mean.441",4.47880080918168,4.79778889269445,7.07883049394285,9.38121604582767,6.25946872923528,8.3776196698932,2,0.318988083512767,2.30238555188482,2.11815094065792
"mean.451",4.49819323019706,4.98882349886599,7.08833842451577,9.47938169433798,6.24580984916972,8.0243038643326,2,0.490630268668937,2.39104326982221,1.77849401516288
"mean.461",4.47897899670526,4.78798347460737,7.2841544289129,9.5974899927035,6.30470843509894,8.41581167848157,2,0.309004477902105,2.3133355637906,2.11110324338263
"mean.471",4.48427174096999,4.80789349902669,7.21894393278682,9.54585455553238,6.35001890613355,8.40225487857307,2,0.323621758056698,2.32691062274556,2.05223597243952
"mean.481",4.49525389182206,5.16664756447346,7.23471962453959,8.97695127736649,6.25299453432097,8.10979944583017,2,0.671393672651393,1.7422316528269,1.8568049115092
"mean.491",4.47360104226666,4.87939794567029,7.20494620451683,9.04318630987073,6.33199773996397,8.14484836312285,2,0.405796903403621,1.8382401053539,1.81285062315888
"mean.501",4.49628483229418,4.93539455942319,7.22160934525158,9.1697931027709,6.22720272855747,8.24780193631006,2,0.439109727129005,1.94818375751932,2.02059920775258
"mean.511",4.50018834472207,4.96926694524691,7.1739164670057,9.16403798220497,6.35497933082175,7.52934738504109,2,0.469078600524838,1.99012151519927,1.17436805421934
"mean.521",4.48379715333137,4.87205996300697,7.21202197905731,9.31813046454726,6.26398000373345,8.04949698565562,2,0.3882628096756,2.10610848548995,1.78551698192217
"mean.531",4.44934306540816,5.02230262393974,7.24851813436031,9.26810603900613,6.25402020189484,8.09605042757489,2,0.572959558531584,2.01958790464582,1.84203022568004
